n,d,p,K,SNR,cluster_accuracy_mean,feature_tpr_mean,selected_feature_count_mean,trial_mean,cluster_accuracy_std,feature_tpr_std,selected_feature_count_std,trial_std
100,100,20,3,1.1,0.9869999999999999,0.8799999999999999,99.0,5.5,0.017029386365926418,0.042163702135578386,1.0540925533894598,3.0276503540974917
100,500,20,3,1.1,0.916,0.8649999999999999,360.4,5.5,0.15414279094398153,0.05296749527356902,133.36932847464507,3.0276503540974917
100,1000,20,3,1.1,0.9879999999999999,0.885,292.5,5.5,0.022997584414213776,0.07090682462060882,52.362518401365435,3.0276503540974917
100,5000,20,3,1.1,0.933,0.775,401.8,5.5,0.19793657794578767,0.2771381524719315,125.01271046488743,3.0276503540974917
100,10000,20,3,1.1,0.7929999999999999,0.68,368.5,5.5,0.26145107891662384,0.37058512292499457,249.66566532954516,3.0276503540974917
100,100,20,3,1.5,0.9560000000000001,0.9400000000000001,98.4,5.5,0.13566298111291986,0.039440531887330765,1.8378731669453627,3.0276503540974917
100,500,20,3,1.5,0.9109999999999999,0.925,434.1,5.5,0.1879982269419936,0.035355339059327355,68.24213426387607,3.0276503540974917
100,1000,20,3,1.5,1.0,0.9199999999999999,489.3,5.5,0.0,0.05868938953886337,111.07760050223148,3.0276503540974917
100,5000,20,3,1.5,1.0,0.9199999999999999,673.4,5.5,0.0,0.04830458915396479,200.71937292316022,3.0276503540974917
100,10000,20,3,1.5,0.9179999999999999,0.9199999999999999,686.6,5.5,0.17028081382103963,0.08563488385776753,312.4509561515215,3.0276503540974917
100,100,20,3,2.0,1.0,0.96,95.3,5.5,0.0,0.03944053188733077,2.8303906287138374,3.0276503540974917
100,500,20,3,2.0,1.0,0.96,469.0,5.5,0.0,0.021081851067789214,16.131404843417148,3.0276503540974917
100,1000,20,3,2.0,1.0,0.9650000000000001,793.2,5.5,0.0,0.04116363011742822,151.34126264101863,3.0276503540974917
100,5000,20,3,2.0,0.96,0.9650000000000001,1096.8,5.5,0.12649110640673517,0.02415229457698242,328.4427228943004,3.0276503540974917
100,10000,20,3,2.0,0.86,0.845,962.6,5.5,0.2260285134421958,0.3040924567006262,500.9216394695769,3.0276503540974917
100,100,20,3,5.0,1.0,1.0,69.2,5.5,0.0,0.0,8.162243700247023,3.0276503540974917
100,500,20,3,5.0,0.9550000000000001,0.99,313.0,5.5,0.14230249470757708,0.021081851067789217,45.41659021400293,3.0276503540974917
100,1000,20,3,5.0,1.0,0.99,682.0,5.5,0.0,0.021081851067789214,126.33817053184416,3.0276503540974917
100,5000,20,3,5.0,1.0,0.99,2664.1,5.5,0.0,0.021081851067789214,350.4899586451958,3.0276503540974917
100,10000,20,3,5.0,1.0,0.9949999999999999,3847.2,5.5,0.0,0.01581138830084191,1448.318243112795,3.0276503540974917
