n,d,p,K,SNR,cluster_accuracy_mean,feature_tpr_mean,selected_feature_count_mean,trial_mean,cluster_accuracy_std,feature_tpr_std,selected_feature_count_std,trial_std
100,100,20,3,1.1,0.9199999999999999,0.8949999999999998,99.35,10.5,0.16489230935434962,0.045595475306449564,1.1821033884786183,5.916079783099616
100,500,20,3,1.1,0.9675,0.8825,315.95,10.5,0.08638195474324001,0.06129093691051247,120.10411053923615,5.916079783099616
100,1000,20,3,1.1,0.9114999999999999,0.85,298.6,10.5,0.1536323362344077,0.1025978352085154,51.78741972820487,5.916079783099616
100,5000,20,3,1.1,0.9350000000000002,0.8,384.6,10.5,0.16018081887929686,0.21275139927797618,118.94775500635829,5.916079783099616
100,10000,20,3,1.1,0.8074999999999999,0.585,389.3,10.5,0.26173258751714706,0.3656644996657311,224.35946251730198,5.916079783099616
100,100,20,3,1.5,0.9105000000000001,0.9399999999999998,98.35,10.5,0.1829142738523907,0.03838859479749572,1.6630662866176469,5.916079783099616
100,500,20,3,1.5,0.9410000000000001,0.9349999999999998,421.95,10.5,0.14245590268755562,0.040065735459301574,72.29215215469722,5.916079783099616
100,1000,20,3,1.5,0.96,0.9149999999999997,484.1,10.5,0.12464686961678237,0.04893604849295928,98.45645577721417,5.916079783099616
100,5000,20,3,1.5,0.9745000000000001,0.9024999999999999,661.8,10.5,0.09687077664817731,0.05729655082849318,228.51433215446247,5.916079783099616
100,10000,20,3,1.5,0.9785,0.9025000000000001,685.75,10.5,0.08922325634992376,0.08503095411610255,347.46432986180866,5.916079783099616
100,100,20,3,2.0,0.9754999999999999,0.9624999999999998,95.3,10.5,0.10956733089748967,0.03581751997056895,2.5360557855395105,5.916079783099616
100,500,20,3,2.0,0.9349999999999999,0.9599999999999997,471.0,10.5,0.1591589738197895,0.030779350562554632,12.969600083109327,5.916079783099616
100,1000,20,3,2.0,0.977,0.9499999999999998,789.0,10.5,0.10285912696499032,0.039735970711951306,149.43401994120842,5.916079783099616
100,5000,20,3,2.0,0.9570000000000001,0.9549999999999998,1059.55,10.5,0.13235120741898487,0.03590924232298039,348.7667709606461,5.916079783099616
100,10000,20,3,2.0,0.9405000000000001,0.9549999999999998,1117.95,10.5,0.14565550561441015,0.045595475306449564,581.1537956604313,5.916079783099616
100,100,20,3,5.0,0.9804999999999999,0.9974999999999999,70.15,10.5,0.08720665112249178,0.011180339887498957,10.080074143419884,5.916079783099616
100,500,20,3,5.0,0.9560000000000001,0.9899999999999999,319.05,10.5,0.13542914247524032,0.0205195670417031,35.17546244038217,5.916079783099616
100,1000,20,3,5.0,1.0,0.99,657.9,10.5,0.0,0.0205195670417031,100.44579580418905,5.916079783099616
100,5000,20,3,5.0,1.0,0.9925,2673.3,10.5,0.0,0.018317377426626175,308.3221316125478,5.916079783099616
100,10000,20,3,5.0,1.0,0.9949999999999999,3712.3,10.5,0.0,0.015389675281277326,1178.360462230199,5.916079783099616
