n,d,p,K,SNR,cluster_accuracy_mean,feature_tpr_mean,selected_feature_count_mean,trial_mean,cluster_accuracy_std,feature_tpr_std,selected_feature_count_std,trial_std
100,100,20,3,1.1,0.9975000000000002,0.8974999999999996,20.0,10.5,0.0063866637365850585,0.04722566206941661,0.0,5.916079783099616
100,500,20,3,1.1,0.9970000000000001,0.8525,20.0,10.5,0.008013147091860325,0.0697269109115208,0.0,5.916079783099616
100,1000,20,3,1.1,0.9969999999999999,0.8125,20.0,10.5,0.0057124057057748,0.1306612736087194,0.0,5.916079783099616
100,5000,20,3,1.1,0.9785,0.7975000000000001,20.0,10.5,0.0804117692354729,0.17582512244901333,0.0,5.916079783099616
100,10000,20,3,1.1,0.9784999999999998,0.785,20.0,10.5,0.0845592286973736,0.13869694338832111,0.0,5.916079783099616
100,100,20,3,1.5,1.0,0.9399999999999998,20.0,10.5,0.0,0.03838859479749572,0.0,5.916079783099616
100,500,20,3,1.5,1.0,0.9324999999999998,20.0,10.5,0.0,0.04666510022433647,0.0,5.916079783099616
100,1000,20,3,1.5,1.0,0.8974999999999997,20.0,10.5,0.0,0.05954874164563803,0.0,5.916079783099616
100,5000,20,3,1.5,0.9810000000000001,0.8774999999999998,20.0,10.5,0.08497058314499202,0.10572431876795124,0.0,5.916079783099616
100,10000,20,3,1.5,0.976,0.8875,20.0,10.5,0.10500125312535433,0.09301244964774169,0.0,5.916079783099616
100,100,20,3,2.0,1.0,0.9624999999999998,20.0,10.5,0.0,0.03581751997056895,0.0,5.916079783099616
100,500,20,3,2.0,1.0,0.9599999999999997,20.0,10.5,0.0,0.02615741818902986,0.0,5.916079783099616
100,1000,20,3,2.0,1.0,0.9399999999999997,20.0,10.5,0.0,0.04167543767332453,0.0,5.916079783099616
100,5000,20,3,2.0,1.0,0.9324999999999998,20.0,10.5,0.0,0.07122056178557307,0.0,5.916079783099616
100,10000,20,3,2.0,1.0,0.9549999999999998,20.0,10.5,0.0,0.045595475306449564,0.0,5.916079783099616
100,100,20,3,5.0,1.0,0.9974999999999999,20.0,10.5,0.0,0.011180339887498957,0.0,5.916079783099616
100,500,20,3,5.0,1.0,0.9899999999999999,20.0,10.5,0.0,0.0205195670417031,0.0,5.916079783099616
100,1000,20,3,5.0,1.0,0.99,20.0,10.5,0.0,0.0205195670417031,0.0,5.916079783099616
100,5000,20,3,5.0,1.0,0.9925,20.0,10.5,0.0,0.018317377426626175,0.0,5.916079783099616
100,10000,20,3,5.0,1.0,0.9949999999999999,20.0,10.5,0.0,0.015389675281277326,0.0,5.916079783099616
